customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,Contract,PaymentMethod,InternetService,n_addon_services,MonthlyCharges,charge_tier,TotalCharges,Churn,churn_flag
7590-VHVEG,Female,false,true,false,1,00-06m,Month-to-month,Electronic check,DSL,1,29.85,<$35,29.85,false,0
5575-GNVDE,Male,false,false,false,34,25-48m,One year,Mailed check,DSL,2,56.95,$35-70,1889.5,false,0
3668-QPYBK,Male,false,false,false,2,00-06m,Month-to-month,Mailed check,DSL,2,53.85,$35-70,108.15,true,1
7795-CFOCW,Male,false,false,false,45,25-48m,One year,Bank transfer (automatic),DSL,3,42.3,$35-70,1840.75,false,0
9237-HQITU,Female,false,false,false,2,00-06m,Month-to-month,Electronic check,Fiber optic,0,70.7,$70-90,151.65,true,1
9305-CDSKC,Female,false,false,false,8,07-12m,Month-to-month,Electronic check,Fiber optic,3,99.65,$90+,820.5,true,1
1452-KIOVK,Male,false,false,true,22,13-24m,Month-to-month,Credit card (automatic),Fiber optic,2,89.1,$70-90,1949.4,false,0
6713-OKOMC,Female,false,false,false,10,07-12m,Month-to-month,Mailed check,DSL,1,29.75,<$35,301.9,false,0
7892-POOKP,Female,false,true,false,28,25-48m,Month-to-month,Electronic check,Fiber optic,4,104.8,$90+,3046.05,true,1
6388-TABGU,Male,false,false,true,62,49-72m,One year,Bank transfer (automatic),DSL,2,56.15,$35-70,3487.95,false,0
9763-GRSKD,Male,false,true,true,13,13-24m,Month-to-month,Mailed check,DSL,1,49.95,$35-70,587.45,false,0
7469-LKBCI,Male,false,false,false,16,13-24m,Two year,Credit card (automatic),No,0,18.95,<$35,326.8,false,0
8091-TTVAX,Male,false,true,false,58,49-72m,One year,Credit card (automatic),Fiber optic,3,100.35,$90+,5681.1,false,0
0280-XJGEX,Male,false,false,false,49,49-72m,Month-to-month,Bank transfer (automatic),Fiber optic,4,103.7,$90+,5036.3,true,1
5129-JLPIS,Male,false,false,false,25,25-48m,Month-to-month,Electronic check,Fiber optic,5,105.5,$90+,2686.05,false,0
3655-SNQYZ,Female,false,true,true,69,49-72m,Two year,Credit card (automatic),Fiber optic,6,113.25,$90+,7895.15,false,0
8191-XWSZG,Female,false,false,false,52,49-72m,One year,Mailed check,No,0,20.65,<$35,1022.95,false,0
9959-WOFKT,Male,false,false,true,71,49-72m,Two year,Bank transfer (automatic),Fiber optic,4,106.7,$90+,7382.25,false,0
4190-MFLUW,Female,false,true,true,10,07-12m,Month-to-month,Credit card (automatic),DSL,2,55.2,$35-70,528.35,true,1
4183-MYFRB,Female,false,false,false,21,13-24m,Month-to-month,Electronic check,Fiber optic,3,90.05,$90+,1862.9,false,0
8779-QRDMV,Male,true,false,false,1,00-06m,Month-to-month,Electronic check,DSL,2,39.65,$35-70,39.65,true,1
1680-VDCWW,Male,false,true,false,12,07-12m,One year,Bank transfer (automatic),No,0,19.8,<$35,202.25,false,0
1066-JKSGK,Male,false,false,false,1,00-06m,Month-to-month,Mailed check,No,0,20.15,<$35,20.15,true,1
3638-WEABW,Female,false,true,false,58,49-72m,Two year,Credit card (automatic),DSL,2,59.9,$35-70,3505.1,false,0
6322-HRPFA,Male,false,true,true,49,49-72m,Month-to-month,Credit card (automatic),DSL,3,59.6,$35-70,2970.3,false,0
6865-JZNKO,Female,false,false,false,30,25-48m,Month-to-month,Bank transfer (automatic),DSL,2,55.3,$35-70,1530.6,false,0
6467-CHFZW,Male,false,true,true,47,25-48m,Month-to-month,Electronic check,Fiber optic,3,99.35,$90+,4749.15,true,1
8665-UTDHZ,Male,false,true,true,1,00-06m,Month-to-month,Electronic check,DSL,1,30.2,<$35,30.2,true,1
5248-YGIJN,Male,false,true,false,72,49-72m,Two year,Credit card (automatic),DSL,6,90.25,$90+,6369.45,false,0
8773-HHUOZ,Female,false,false,true,17,13-24m,Month-to-month,Mailed check,DSL,2,64.7,$35-70,1093.1,true,1
3841-NFECX,Female,true,true,false,71,49-72m,Two year,Credit card (automatic),Fiber optic,4,96.35,$90+,6766.95,false,0
4929-XIHVW,Male,true,true,false,2,00-06m,Month-to-month,Credit card (automatic),Fiber optic,3,95.5,$90+,181.65,false,0
6827-IEAUQ,Female,false,true,true,27,25-48m,One year,Mailed check,DSL,4,66.15,$35-70,1874.45,false,0
7310-EGVHZ,Male,false,false,false,1,00-06m,Month-to-month,Bank transfer (automatic),No,0,20.2,<$35,20.2,false,0
3413-BMNZE,Male,true,false,false,1,00-06m,Month-to-month,Bank transfer (automatic),DSL,0,45.25,$35-70,45.25,false,0
6234-RAAPL,Female,false,true,true,72,49-72m,Two year,Bank transfer (automatic),Fiber optic,4,99.9,$90+,7251.7,false,0
6047-YHPVI,Male,false,false,false,5,00-06m,Month-to-month,Electronic check,Fiber optic,0,69.7,$35-70,316.9,true,1
6572-ADKRS,Female,false,false,false,46,25-48m,Month-to-month,Credit card (automatic),Fiber optic,1,74.8,$70-90,3548.3,false,0
5380-WJKOV,Male,false,false,false,34,25-48m,Month-to-month,Electronic check,Fiber optic,4,106.35,$90+,3549.25,true,1
8168-UQWWF,Female,false,false,false,11,07-12m,Month-to-month,Bank transfer (automatic),Fiber optic,3,97.85,$90+,1105.4,true,1
8865-TNMNX,Male,false,true,true,10,07-12m,One year,Mailed check,DSL,1,49.55,$35-70,475.7,false,0
9489-DEDVP,Female,false,true,true,70,49-72m,Two year,Credit card (automatic),DSL,3,69.2,$35-70,4872.35,false,0
9867-JCZSP,Female,false,true,true,17,13-24m,One year,Mailed check,No,0,20.75,<$35,418.25,false,0
4671-VJLCL,Female,false,false,false,63,49-72m,Two year,Credit card (automatic),DSL,5,79.85,$70-90,4861.45,false,0
4080-IIARD,Female,false,true,false,13,13-24m,Month-to-month,Electronic check,DSL,4,76.2,$70-90,981.45,false,0
3714-NTNFO,Female,false,false,false,49,49-72m,Month-to-month,Electronic check,Fiber optic,1,84.5,$70-90,3906.7,false,0
5948-UJZLF,Male,false,false,false,2,00-06m,Month-to-month,Mailed check,DSL,1,49.25,$35-70,97.0,false,0
7760-OYPDY,Female,false,false,false,2,00-06m,Month-to-month,Electronic check,Fiber optic,1,80.65,$70-90,144.15,true,1
7639-LIAYI,Male,false,false,false,52,49-72m,Two year,Credit card (automatic),DSL,4,79.75,$70-90,4217.8,false,0
2954-PIBKO,Female,false,true,true,69,49-72m,Two year,Credit card (automatic),DSL,3,64.15,$35-70,4254.1,false,0
8012-SOUDQ,Female,true,false,false,43,25-48m,Month-to-month,Electronic check,Fiber optic,2,90.25,$90+,3838.75,false,0
9420-LOJKX,Female,false,false,false,15,13-24m,Month-to-month,Credit card (automatic),Fiber optic,4,99.1,$90+,1426.4,true,1
6575-SUVOI,Female,true,true,false,25,25-48m,Month-to-month,Credit card (automatic),DSL,3,69.5,$35-70,1752.65,false,0
7495-OOKFY,Female,true,true,false,8,07-12m,Month-to-month,Credit card (automatic),Fiber optic,1,80.65,$70-90,633.3,true,1
4667-QONEA,Female,true,true,true,60,49-72m,One year,Credit card (automatic),DSL,5,74.85,$70-90,4456.35,false,0
1658-BYGOY,Male,true,false,false,18,13-24m,Month-to-month,Electronic check,Fiber optic,2,95.45,$90+,1752.55,true,1
8769-KKTPH,Female,false,true,true,63,49-72m,One year,Credit card (automatic),Fiber optic,3,99.65,$90+,6311.2,false,0
5067-XJQFU,Male,true,true,true,66,49-72m,One year,Electronic check,Fiber optic,5,108.45,$90+,7076.35,false,0
3957-SQXML,Female,false,true,true,34,25-48m,Two year,Credit card (automatic),No,0,24.95,<$35,894.3,false,0
5954-BDFSG,Female,false,false,false,72,49-72m,Two year,Credit card (automatic),Fiber optic,4,107.5,$90+,7853.7,false,0
0434-CSFON,Female,false,true,false,47,25-48m,Month-to-month,Electronic check,Fiber optic,3,100.5,$90+,4707.1,false,0
1215-FIGMP,Male,false,false,false,60,49-72m,Month-to-month,Bank transfer (automatic),Fiber optic,2,89.9,$70-90,5450.7,false,0
0526-SXDJP,Male,false,true,false,72,49-72m,Two year,Bank transfer (automatic),DSL,3,42.1,$35-70,2962.0,false,0
0557-ASKVU,Female,false,true,true,18,13-24m,One year,Credit card (automatic),DSL,2,54.4,$35-70,957.1,false,0
5698-BQJOH,Female,false,false,false,9,07-12m,Month-to-month,Electronic check,Fiber optic,2,94.4,$90+,857.25,true,1
5122-CYFXA,Female,false,false,false,3,00-06m,Month-to-month,Electronic check,DSL,4,75.3,$70-90,244.1,false,0
8627-ZYGSZ,Male,false,true,false,47,25-48m,One year,Electronic check,Fiber optic,1,78.9,$70-90,3650.35,false,0
3410-YOQBQ,Female,false,false,false,31,25-48m,Two year,Mailed check,DSL,5,79.2,$70-90,2497.2,false,0
3170-NMYVV,Female,false,true,true,50,49-72m,Two year,Bank transfer (automatic),No,0,20.15,<$35,930.9,false,0
